coin,cluster_id,t_start,t_end,deficit_usd,total_capacity_usd,budget_queue_usd,overshoot_queue_usd,residual_queue_usd
LINK,21,2025-10-10 21:21:30.551000+00:00,2025-10-10 21:21:30.551000+00:00,0.0,1365.6432515514878,338.2068944401558,338.2068944401558,0.0
LTC,1,2025-10-10 21:16:04.831000+00:00,2025-10-10 21:16:04.831000+00:00,0.0,242670.59215500017,3726.110321,3726.110321,0.0
LTC,2,2025-10-10 21:16:56.356000+00:00,2025-10-10 21:16:56.356000+00:00,0.0,278107.10530245514,113295.35216555976,113295.35216555976,0.0
LTC,3,2025-10-10 21:17:14.132000+00:00,2025-10-10 21:17:14.132000+00:00,0.0,106350.0,67256.392586,67256.392586,0.0
LTC,4,2025-10-10 21:17:26.528000+00:00,2025-10-10 21:17:26.528000+00:00,0.0,16733.427781476406,14325.98559461049,14325.98559461049,0.0
LTC,5,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,4.541909,4525320.664059296,2011543.889406584,2011539.347497584,0.0
LTC,6,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,269870.49515356874,173206.93662100477,173206.93662100477,0.0
LTC,7,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:50.860000+00:00,0.0,606028.4936919668,600451.9926268966,600451.9926268966,0.0
LTC,8,2025-10-10 21:19:15.348000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,1312141.2184839982,64374.839515,64374.839515,0.0
LTC,9,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,11179.442559999983,11145.616566,11145.616566,0.0
LTC,10,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,345254.85817300004,144966.21069100001,144966.21069100001,0.0
LTC,11,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,601909.6355886548,601792.2371646549,601792.2371646549,0.0
LTC,12,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,261410.26448,164711.201258,164711.201258,0.0
LTC,13,2025-10-10 21:20:11.547000+00:00,2025-10-10 21:20:11.547000+00:00,0.0,14449.199999999995,6.0205,6.0205,0.0
LTC,14,2025-10-10 21:20:32.754000+00:00,2025-10-10 21:20:34.906000+00:00,0.0,150512.2213666582,2575.7142148753214,2575.7142148753214,0.0
MANTA,1,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,18476.956351,12770.965150999999,12770.965150999999,0.0
MANTA,2,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,1445.2954470000002,0.0,0.0,0.0,1445.2954470000002
MAV,1,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,3614.869479,2523.458243,2523.458243,0.0
MAV,2,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,134.4330624781873,126.78292340105511,126.78292340105511,0.0
ME,1,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,59689.667093,53996.104189,53996.104189,0.0
ME,2,2025-10-10 21:20:08.014000+00:00,2025-10-10 21:20:08.014000+00:00,0.0,5843.247071999999,220.560414,220.560414,0.0
